Date,Station,Latitude,Longitude,Elevation,Date,Average Wind Speed,Time of Fastest Wind,Peak Gust Time,Average Temperature,Maximum Temperature,Minimum Temperature,Direction Fastest 2-Minute Wind,Direction Fastest 5-Minute Wind,Fastest 2-Minute Wind Speed,Fastest 2-Minute Wind Speed,"Fog, Ice, Freezing Fog",Heavy Fog or Heavy Freezing Fog,Thunder,"Ice Pellets, Sleet or Small Hail",Hail,Glaze or Rime,"Dust, Volcanic Ash or Blowing Dust",Smoke or Haze,Blowing or Drifting Snow,High or Damaging Winds,Mist,Drizzle,Freezing Drizzle,Rain,Freezing Rain,"Snow, Snow Pellets or Ice Crystals",Unknown Precipitation,Ground Fog,Ice fog or Freezing Fog
49,USW00094846,41.96017,-87.93164,204.8,2010-02-19,4.7,1724.0,1724.0,,42.0,19.0,80.0,60.0,8.9,17.9,,,,,,,,,,,,,,,,,,,
50,USW00094846,41.96017,-87.93164,204.8,2010-02-20,5.14,947.0,1713.0,,39.0,30.0,160.0,50.0,8.9,17.0,1.0,,,,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,
51,USW00094846,41.96017,-87.93164,204.8,2010-02-21,7.61,1532.0,2258.0,,36.0,33.0,40.0,30.0,13.0,17.0,1.0,,,,1.0,,,1.0,,,1.0,,,1.0,,1.0,,,
52,USW00094846,41.96017,-87.93164,204.8,2010-02-22,10.51,1209.0,150.0,,33.0,29.0,20.0,50.0,16.1,25.1,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,
53,USW00094846,41.96017,-87.93164,204.8,2010-02-23,6.49,2047.0,2112.0,,33.0,22.0,260.0,250.0,14.1,17.9,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,,
54,USW00094846,41.96017,-87.93164,204.8,2010-02-24,12.08,1638.0,1642.0,,29.0,21.0,330.0,360.0,21.9,28.0,1.0,1.0,,,,,,,,,1.0,,,1.0,,1.0,,,1.0
55,USW00094846,41.96017,-87.93164,204.8,2010-02-25,11.86,1519.0,718.0,,28.0,18.0,310.0,360.0,17.9,28.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,
56,USW00094846,41.96017,-87.93164,204.8,2010-02-26,13.2,1552.0,1551.0,,31.0,17.0,320.0,320.0,21.9,25.9,,,,,,,,,,,,,,1.0,,1.0,,,
57,USW00094846,41.96017,-87.93164,204.8,2010-02-27,11.41,1556.0,1555.0,,34.0,28.0,330.0,320.0,17.9,23.9,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,
58,USW00094846,41.96017,-87.93164,204.8,2010-02-28,7.16,831.0,1244.0,,38.0,32.0,350.0,50.0,12.1,23.9,1.0,,,,,,,1.0,,,1.0,,,1.0,,1.0,,,
59,USW00094846,41.96017,-87.93164,204.8,2010-03-01,7.61,1719.0,1512.0,,36.0,27.0,50.0,30.0,14.1,25.9,,,,,,,,,,,,,,,,,,,
60,USW00094846,41.96017,-87.93164,204.8,2010-03-02,8.5,1501.0,1107.0,,33.0,23.0,20.0,30.0,15.0,25.9,,,,,,,,,,,,,,,,,,,
61,USW00094846,41.96017,-87.93164,204.8,2010-03-03,8.5,243.0,1150.0,,39.0,24.0,340.0,40.0,14.1,28.0,,,,,,,,,,,,,,,,,,,
