"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094846","41.96017","-87.93164","204.8","2010-05-04","14.32"," 1750"," 1725",,"79","50","  220","  230","28.0","36.0",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-05","12.75"," 1550"," 1610",,"72","56","  290","  250","25.1","33.1",,,,,,,,,,,,,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-06","9.17"," 1627"," 2025",,"63","46","   50","   60","17.0","23.9","    1",,"    1",,"    1",,,,,,,,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-07","13.20"," 0811"," 0811",,"59","45","  120","  130","32.0","38.0","    1",,"    1",,"    1",,,"    1",,,"    1",,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-08","15.21"," 0235"," 0235",,"50","42","  280","  270","30.0","38.9","    1",,,,"    1",,,,,,,,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-09","6.49"," 1712"," 1712",,"58","38","  100","   70","14.1","21.9",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-10","14.32"," 2343"," 2344",,"58","41","  120","  130","30.0","36.0",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-11","9.84"," 0008"," 0025",,"52","44","  120","  110","29.1","36.9","    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-12","10.51"," 2044"," 2326",,"51","44","  100","   60","21.0","25.1","    1","    1","    1",,"    1",,,"    1",,,,,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-13","12.30"," 1606"," 1605",,"73","48","  260","  270","25.9","38.0","    1",,"    1",,"    1",,,,,,"    1",,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-14","11.18"," 1503"," 1002",,"66","47","  280","  260","23.0","30.0",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-15","5.82"," 1806",,,"61","43","   40",,"13.0",,,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-16","10.07"," 1753"," 1532",,"66","41","   50","   60","17.9","34.9",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-17","9.84"," 1745"," 1443",,"58","50","   20","   50","17.0","25.9",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-18","9.84"," 1054"," 1053",,"65","46","   40","   40","30.0","38.9",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-19","6.49"," 1022"," 1104",,"74","44","   40","   50","16.1","30.0",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-20","7.83"," 1222"," 1221",,"74","47","  110","  110","21.9","25.9",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-21","6.26"," 1559"," 1559",,"73","56","  150","  150","17.9","21.9","    1",,,,"    1",,"    1","    1",,,"    1","    1",,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-22","5.37"," 1634"," 1504",,"74","58","  130","  100","15.0","19.9","    1","    1",,,,,"    1","    1","    1",,"    1",,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-23","10.07"," 1436"," 1456",,"89","62","  190","  190","21.0","25.1",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-24","8.28"," 1834"," 1713",,"91","70","  100","   80","16.1","21.9","    1",,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-25","7.83"," 1502"," 1440",,"88","69","  120","  130","17.9","23.0",,,,,,,,"    1",,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-26","4.47"," 1520"," 1519",,"87","66","  280","  280","21.0","30.0",,,"    1",,,,,,,,,,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-27","10.74"," 1533"," 1508",,"77","61","   40","   50","19.9","28.0",,,,,,,,,,,,,,,,,,,
